Name,Location,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third
Maruti Swift DDiS VDI,Jaipur,2017,25000,28.4,1248.0,74.0,5.0,7.88,5.99,False,False,True,False,False,False
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,20.45,1461.0,83.8,5.0,15.05,6.34,False,False,True,False,False,False
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,14.84,2143.0,167.62,5.0,49.49,28.0,False,False,False,False,False,False
BMW 3 Series 320d,Kochi,2014,32982,22.69,1995.0,190.0,5.0,47.87,18.55,False,False,False,False,False,False
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,23.65,1248.0,88.5,5.0,7.88,8.25,False,False,True,False,True,False
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,13.53,1984.0,177.01,5.0,67.1,23.5,False,True,False,False,False,False
Hyundai i20 1.2 Magna,Kolkata,2010,45807,18.5,1197.0,80.0,5.0,10.25,1.87,False,True,True,False,False,False
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,14.4,1598.0,103.6,5.0,13.23,2.85,False,True,False,False,False,False
Honda City Corporate Edition,Mumbai,2012,51920,16.8,1497.0,116.3,5.0,13.58,4.25,False,True,True,False,False,False
Nissan Micra Diesel XV,Hyderabad,2012,54000,23.08,1461.0,63.1,5.0,9.47,4.25,False,False,True,False,False,False
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,20.92,998.0,67.1,5.0,4.36,2.75,False,True,True,False,True,False
Honda WRV i-VTEC VX,Kochi,2018,37430,17.5,1199.0,88.7,5.0,10.57,9.9,False,True,True,False,False,False
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,12.8,2494.0,102.0,7.0,24.01,4.0,False,False,True,True,False,False
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,19.01,1461.0,108.45,5.0,15.05,7.75,False,False,True,False,False,False
Toyota Corolla Altis G,Delhi,2012,87615,14.53,1798.0,138.1,5.0,21.085,6.75,False,True,True,False,False,False
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,11.18,2696.0,184.0,7.0,18.865,12.5,False,False,False,False,True,False
Audi A6 2.7 TDI,Kolkata,2010,35000,12.4,2698.0,179.5,5.0,67.1,11.5,False,False,False,False,False,False
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,16.09,1598.0,103.5,5.0,12.33,6.98,False,True,True,False,True,False
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,14.0,1061.0,64.0,5.0,5.51,1.85,False,True,True,False,True,False
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,24.3,1248.0,88.5,5.0,11.12,8.63,False,False,True,False,False,False
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,18.15,1198.0,82.0,5.0,7.88,4.85,False,True,True,False,False,False
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,11.74,2987.0,254.8,5.0,49.49,28.0,False,False,False,False,False,False
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,22.07,1199.0,73.9,5.0,10.15,5.0,False,False,True,False,False,False
Maruti Alto LXi,Delhi,2008,90000,19.7,796.0,46.3,5.0,4.36,1.25,False,True,True,False,True,False
Tata Nano LX SE,Kochi,2014,19698,25.4,624.0,37.5,4.0,7.63,1.53,False,True,True,False,False,False
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,25.32,1198.0,77.0,6.0,7.88,5.58,False,False,True,False,False,False
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,18.5,1197.0,82.9,5.0,10.25,4.74,False,True,True,False,False,False
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,14.62,1999.0,149.92,5.0,23.64,8.85,False,True,False,False,False,False
Toyota Corolla Altis G AT,Mumbai,2016,52001,14.28,1798.0,138.03,5.0,21.085,10.11,False,True,False,False,False,False
Hyundai Elantra CRDi,Ahmedabad,2008,58005,14.9,1991.0,112.2,5.0,21.77,4.25,False,False,True,False,True,False
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,11.25,2694.0,163.7,7.0,18.64,10.95,False,True,True,False,False,False
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,24.4,1120.0,71.0,5.0,8.23,3.85,False,False,True,False,False,False
Mahindra Thar CRDe AC,Jaipur,2012,75800,16.55,2498.0,105.0,6.0,11.39,5.5,False,False,True,False,True,False
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,17.11,1968.0,174.33,5.0,53.14,21.43,False,False,False,False,False,False
Maruti Swift LDI,Delhi,2014,52000,22.9,1248.0,74.0,5.0,7.88,4.25,False,False,True,False,False,False
Maruti Swift Ldi BSIV,Kolkata,2014,53000,17.8,1248.0,75.0,5.0,7.88,3.3,False,False,True,False,False,False
Maruti Swift VDI,Delhi,2013,65650,28.4,1248.0,74.0,5.0,7.88,3.85,False,False,True,False,False,False
Hyundai Grand i10 Sportz,Chennai,2015,54000,18.9,1197.0,82.0,5.0,7.45,3.6,False,True,True,False,False,True
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,15.04,1598.0,103.2,5.0,13.23,3.99,False,True,True,False,False,False
Renault KWID RXT,Kochi,2017,16542,25.17,799.0,53.3,5.0,4.78,3.3,False,True,True,False,False,False
Hyundai i10 Asta,Kolkata,2010,32000,20.36,1197.0,78.9,5.0,10.25,2.07,False,True,True,False,False,False
Nissan X-Trail SLX AT,Hyderabad,2010,121812,13.29,1995.0,147.6,5.0,11.33,7.75,False,False,False,False,False,False
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,18.2,998.0,67.1,5.0,7.88,2.25,False,True,True,False,False,False
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,13.68,2393.0,147.8,8.0,19.34,16.5,False,False,True,False,False,False
Ford Figo Diesel Titanium,Bangalore,2010,72000,20.0,1399.0,68.0,5.0,7.65,2.75,False,False,True,False,False,False
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,11.74,1796.0,186.0,5.0,49.49,26.7,False,True,False,False,False,False
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,15.8,2148.0,170.0,5.0,49.49,10.0,False,False,True,False,True,False
Tata Indica V2 eLS,Chennai,2016,178000,25.0,1396.0,69.0,5.0,7.63,2.5,False,False,True,False,False,False
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,16.55,1968.0,140.0,5.0,53.14,13.5,False,False,False,False,False,False
Honda City ZX CVT,Mumbai,2007,63000,16.4,1497.0,78.0,5.0,13.58,1.85,False,True,False,False,True,False
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,0.0,1950.0,194.0,5.0,49.14,35.67,False,False,False,False,False,False
Maruti Ertiga SHVS VDI,Pune,2016,63000,24.52,1248.0,88.5,7.0,11.27,8.15,False,False,True,False,False,False
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,22.1,1396.0,88.7,5.0,11.81,10.5,False,False,True,False,False,False
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,8.5,4806.0,500.0,5.0,136.0,14.5,False,True,False,False,False,False
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,15.1,2179.0,140.0,7.0,18.865,9.65,False,False,True,False,False,False
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,16.95,1197.0,78.9,5.0,10.25,3.48,False,True,False,False,False,False
Nissan Terrano XV D Pre,Kochi,2015,56066,19.64,1461.0,108.5,5.0,16.65,6.92,False,False,True,False,False,False
Honda Brio VX AT,Coimbatore,2016,37300,16.5,1198.0,86.8,5.0,6.62,6.46,False,True,False,False,True,False
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,18.53,1968.0,187.74,5.0,67.1,29.5,False,False,False,False,True,False
Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,17.8,1399.0,98.6,5.0,11.685,2.0,False,False,True,False,False,False
Toyota Innova 2.0 G1,Chennai,2006,230000,12.4,1998.0,132.0,8.0,24.01,4.5,False,True,True,False,False,True
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,12.8,2494.0,102.0,7.0,24.01,11.75,False,False,True,False,False,False
Hyundai Santro Xing XL,Hyderabad,2005,87591,0.0,1086.0,98.6,5.0,4.55,1.3,False,True,True,False,False,False
Maruti Swift VDI,Jaipur,2012,95100,22.9,1248.0,74.0,5.0,7.88,3.75,False,False,True,False,False,False
Tata Zest Revotron 1.2T XE,Pune,2017,70000,17.57,1193.0,88.7,5.0,6.67,4.5,False,True,True,False,False,False
Honda Amaze SX i-VTEC,Kochi,2016,54944,18.0,1198.0,86.7,5.0,8.54,4.82,False,True,True,False,False,False
Ford Figo Diesel ZXI,Hyderabad,2012,70337,20.0,1399.0,68.0,5.0,7.65,2.8,False,False,True,False,False,False
Maruti Ritz VDi,Jaipur,2013,99638,23.2,1248.0,73.94,5.0,7.88,3.11,False,False,True,False,False,False
Honda City i VTEC E,Delhi,2009,52000,17.8,1497.0,117.3,5.0,13.58,3.25,False,True,True,False,False,False
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,16.73,1995.0,218.0,5.0,67.87,13.9,False,False,False,False,True,False
Hyundai i10 Sportz 1.2,Pune,2009,95980,20.36,1197.0,78.9,5.0,10.25,2.25,False,True,True,False,False,False
Hyundai Grand i10 Sportz,Bangalore,2016,16000,18.9,1197.0,82.0,5.0,7.45,5.75,False,True,True,False,False,False
Hyundai Santro Xing XO,Hyderabad,2007,73745,17.0,1086.0,98.6,5.0,4.55,2.1,False,True,True,False,False,False
Honda Amaze SX i-VTEC,Mumbai,2016,18949,17.8,1198.0,86.7,5.0,8.54,5.0,False,True,True,False,False,False
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,13.0,2982.0,168.5,7.0,37.17,16.5,False,False,True,False,False,False
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,17.68,1968.0,174.33,5.0,67.1,39.58,False,False,False,False,False,False
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,22.7,1498.0,89.84,5.0,11.685,5.5,False,False,True,False,False,False
Mahindra XUV500 W8 2WD,Delhi,2014,58000,15.1,2179.0,140.0,7.0,18.865,8.1,False,False,True,False,False,False
Honda Amaze SX i-DTEC,Kolkata,2015,30000,25.8,1498.0,98.6,5.0,8.54,3.5,False,False,True,False,False,False
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,22.07,1199.0,73.9,5.0,10.15,2.79,False,False,True,False,False,False
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,16.2,1493.0,110.0,5.0,14.255,3.45,False,False,True,False,False,False
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,18.9,998.0,67.1,5.0,5.51,4.45,False,True,True,False,False,False
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,15.26,1598.0,103.5,5.0,10.15,2.65,False,True,True,False,False,False
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,23.0,1396.0,90.0,5.0,10.25,3.8,False,False,True,False,True,False
Hyundai i20 Asta 1.2,Mumbai,2014,30180,18.5,1197.0,82.85,5.0,10.25,4.65,False,True,True,False,False,False
Datsun GO Plus T Petrol,Pune,2017,32851,19.83,1198.0,67.0,7.0,6.45,3.95,False,True,True,False,False,False
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,14.94,2967.0,241.4,5.0,53.14,9.8,False,False,False,False,False,False
Hyundai i20 2015-2017 Asta,Pune,2009,66000,17.0,1197.0,80.0,5.0,10.25,2.7,False,True,True,False,True,False
Maruti Omni 5 Str STD,Coimbatore,2010,93850,14.0,796.0,35.0,5.0,7.88,2.41,False,True,True,False,False,False
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,17.71,1197.0,78.9,5.0,6.41,3.9,False,True,True,False,False,False
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,14.74,2993.0,270.9,5.0,69.675,24.0,False,False,False,False,True,False
Mahindra XUV500 W8 2WD,Delhi,2012,65000,16.0,2179.0,140.0,7.0,18.865,5.75,False,False,True,False,True,False
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,22.32,1582.0,126.32,5.0,14.255,5.25,False,False,False,False,False,False
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,11.36,2755.0,171.5,7.0,27.0,19.25,False,False,False,False,False,False
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,15.1,1196.0,73.0,5.0,5.13,3.91,False,True,True,False,False,False
Tata Nano Twist XT,Bangalore,2014,25500,25.4,624.0,37.5,4.0,7.63,2.15,False,True,True,False,False,False
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,22.69,1995.0,190.0,5.0,54.43,20.75,False,False,False,False,False,False
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,13.5,1799.0,130.0,5.0,13.58,3.35,False,True,True,False,False,False
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,12.99,2494.0,100.6,7.0,24.01,11.11,False,False,True,False,False,False
Volvo V40 Cross Country D3,Bangalore,2014,32700,23.3,1984.0,150.0,5.0,37.9,20.0,False,False,False,False,False,False
Nissan Micra XV CVT,Coimbatore,2016,39882,19.15,1198.0,75.94,5.0,9.51,6.55,False,True,False,False,False,False
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,10.8,2497.0,215.0,5.0,67.87,7.0,False,True,False,False,False,False
Maruti Vitara Brezza VDi,Mumbai,2016,55000,24.3,1248.0,88.5,5.0,9.96,7.5,False,False,True,False,False,False
Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,17.0,1086.0,98.6,5.0,4.55,0.85,False,True,True,False,True,False
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,15.0,2143.0,107.3,5.0,37.03,16.75,False,False,False,False,True,False
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,22.0,1582.0,126.2,5.0,14.44,10.95,False,False,True,False,False,False
Maruti Wagon R LXI BS IV,Pune,2011,43874,18.9,998.0,67.1,5.0,5.51,2.45,False,True,True,False,False,False
Tata Nano XTA,Coimbatore,2017,32684,21.9,624.0,37.48,4.0,7.63,3.23,False,True,False,False,False,False
Mahindra Scorpio VLX,Kolkata,2014,42000,12.05,2179.0,120.0,8.0,18.865,7.75,False,False,True,False,False,False
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,11.7,1796.0,178.0,5.0,49.49,9.35,False,True,False,False,False,False
Honda CR-V 2.4 MT,Bangalore,2007,47700,10.8,2354.0,152.0,5.0,33.51,5.25,False,True,True,False,True,False
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,21.21,1498.0,103.2,5.0,13.23,7.25,False,False,False,False,False,False
Maruti Ciaz VXi Plus,Kochi,2017,44285,20.73,1373.0,91.1,5.0,11.11,7.47,False,True,True,False,False,False
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,16.0,2179.0,140.0,7.0,18.865,13.25,False,False,False,False,False,False
Maruti Ritz VXI ABS,Coimbatore,2016,30232,21.1,1197.0,85.8,5.0,7.88,5.81,False,True,True,False,False,False
Maruti Alto K10 VXI,Hyderabad,2014,88500,24.07,998.0,67.1,5.0,4.53,2.6,False,True,True,False,False,False
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,19.0,2996.0,362.07,2.0,95.04,54.0,False,True,False,False,False,False
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,17.0,1591.0,121.3,5.0,13.49,11.5,False,True,False,False,False,False
Maruti Alto LXi BSIII,Chennai,2010,94385,19.7,796.0,46.3,5.0,4.36,1.6,False,True,True,False,True,False
BMW 1 Series 118d Base,Coimbatore,2015,31821,20.58,1995.0,143.0,5.0,55.07,17.22,False,False,False,False,False,False
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,19.0,1199.0,88.7,5.0,9.6,6.0,False,True,False,False,False,False
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,13.5,1799.0,130.0,5.0,13.58,3.95,False,True,True,False,False,False
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,19.27,2143.0,170.0,5.0,49.49,17.95,False,False,False,False,False,False
Honda Amaze SX i-DTEC,Kolkata,2014,45044,25.8,1498.0,98.6,5.0,8.54,3.7,False,False,True,False,False,False
Maruti Swift VVT VXI,Kochi,2016,34204,22.0,1197.0,81.8,5.0,7.88,5.43,False,True,True,False,False,False
Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,17.0,1086.0,98.6,5.0,4.55,1.67,False,True,True,False,False,True
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,11.5,2982.0,171.0,7.0,37.17,13.49,False,False,True,False,False,False
Chevrolet Beat LT Option,Pune,2014,38800,18.6,1199.0,76.8,5.0,11.3,2.85,False,True,True,False,False,False
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,21.14,1498.0,103.52,5.0,14.22,4.75,False,False,True,False,False,False
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,20.73,1373.0,91.1,5.0,11.11,9.9,False,True,True,False,False,False
Audi RS5 Coupe,Mumbai,2013,23000,11.05,2894.0,444.0,4.0,128.0,37.0,False,True,False,False,False,False
BMW 3 Series Luxury Line,Mumbai,2014,48000,21.76,1995.0,190.0,5.0,60.88,26.5,False,False,False,False,False,False
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,17.11,1968.0,174.33,5.0,53.14,23.32,False,False,False,False,False,False
Maruti Swift VDI,Chennai,2016,35000,22.9,1248.0,74.0,5.0,7.88,6.25,False,False,True,False,False,False
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,7.81,5461.0,362.9,5.0,49.49,30.0,False,True,False,False,False,False
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,21.66,1498.0,103.52,5.0,14.22,9.86,False,False,False,False,False,False
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,17.2,1968.0,138.1,5.0,33.36,8.5,False,False,False,False,False,False
Hyundai EON Magna Plus,Kochi,2019,14322,21.1,814.0,55.2,5.0,10.25,4.23,False,True,True,False,False,False
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,22.07,1199.0,73.9,5.0,10.15,3.5,False,False,True,False,False,False
Datsun GO NXT,Kolkata,2016,6000,20.63,1198.0,67.06,5.0,6.095,2.5,False,True,True,False,False,False
Honda Brio S MT,Kolkata,2013,33280,19.4,1198.0,86.8,5.0,6.62,2.39,False,True,True,False,False,False
Mercedes-Benz B Class B180,Delhi,2013,29000,14.8,1595.0,120.7,5.0,37.03,11.25,False,True,False,False,False,False
Honda City i DTEC V,Kochi,2015,42831,26.0,1498.0,98.6,5.0,13.58,7.11,False,False,True,False,False,False
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,12.99,2494.0,100.6,7.0,24.01,10.9,False,False,True,False,False,False
Maruti Swift VXI Optional,Ahmedabad,2017,24005,20.4,1197.0,81.8,5.0,7.88,6.2,False,True,True,False,False,False
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,15.1,2179.0,140.0,7.0,18.865,7.9,False,False,True,False,False,False
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,22.7,1498.0,89.84,5.0,11.685,4.42,False,False,True,False,False,False
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,13.0,2982.0,168.5,7.0,37.17,13.5,False,False,True,False,False,False
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,21.5,1498.0,108.5,5.0,13.23,6.25,False,False,False,False,False,False
Ford Figo Diesel Titanium,Jaipur,2010,66123,20.0,1399.0,68.0,5.0,7.65,2.1,False,False,True,False,True,False
BMW X5 xDrive 30d,Mumbai,2015,41000,15.3,2993.0,258.0,5.0,55.07,45.0,False,False,False,False,False,False
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,19.27,2143.0,167.62,5.0,49.49,33.66,False,False,False,False,False,False
Honda Brio V MT,Bangalore,2012,45000,19.4,1198.0,86.8,5.0,6.62,3.65,False,True,True,False,True,False
Hyundai i10 Magna 1.2,Delhi,2013,60000,20.36,1197.0,78.9,5.0,10.25,2.75,False,True,True,False,False,False
Mercedes-Benz GLC 220,Bangalore,2016,44414,17.9,2143.0,170.0,5.0,63.805,42.5,False,False,False,False,False,False
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,18.9,1197.0,81.86,5.0,7.39,6.5,False,True,True,False,False,False
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,17.68,1968.0,174.33,5.0,67.1,19.0,False,False,False,False,True,False
Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,14.4,1598.0,103.6,5.0,13.23,4.45,False,True,False,False,True,False
Mini Countryman Cooper D,Jaipur,2017,8525,16.6,1998.0,112.0,5.0,42.12,23.0,False,False,False,False,True,False
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,22.54,1396.0,88.73,5.0,10.25,8.35,False,False,True,False,False,False
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,17.68,1968.0,174.33,5.0,67.1,22.95,False,False,False,False,False,False
Chevrolet Beat Diesel LT,Jaipur,2012,88000,25.44,936.0,57.6,5.0,11.3,1.5,False,False,True,False,False,False
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,13.7,1798.0,157.75,5.0,33.36,6.89,False,True,False,False,False,False
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,17.8,1399.0,68.0,5.0,11.685,1.45,False,False,True,False,True,False
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,22.48,1995.0,190.0,5.0,69.47,33.5,False,False,False,False,False,False
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,12.9,1598.0,102.5,5.0,11.3,1.25,False,True,True,False,False,False
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,22.07,1199.0,73.9,5.0,10.15,4.2,False,False,True,False,False,False
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,19.98,1461.0,108.5,8.0,15.05,6.75,False,False,True,False,False,False
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,13.0,2143.0,201.1,5.0,86.97,32.0,False,False,False,False,False,False
Maruti Baleno Alpha,Kochi,2017,24773,21.4,1197.0,83.1,5.0,8.78,7.5,False,True,True,False,False,False
Hyundai Verna 1.6 SX,Delhi,2012,62000,22.32,1582.0,126.32,5.0,14.255,4.6,False,False,True,False,False,False
Hyundai i10 Magna 1.1,Kochi,2017,52340,19.81,1086.0,68.05,5.0,10.25,4.04,False,True,True,False,False,False
Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,15.4,1997.0,120.0,7.0,18.865,10.31,False,False,True,False,False,False
Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,12.7,2179.0,187.7,5.0,120.0,55.76,False,False,False,False,False,False
Ford Figo Diesel ZXI,Chennai,2010,120000,20.0,1399.0,68.0,5.0,7.65,2.6,False,False,True,False,False,False
Maruti Ertiga ZDI,Mumbai,2016,33000,25.47,1248.0,88.5,7.0,12.74,8.5,False,False,True,False,False,False
Honda City 1.5 GXI,Ahmedabad,2007,60006,0.0,1622.1462422882782,98.6,4.0,13.58,2.95,False,True,True,False,False,False
Honda Amaze S i-Dtech,Kolkata,2014,52000,25.8,1498.0,98.6,5.0,8.54,3.5,False,False,True,False,False,False
Hyundai i10 Magna,Jaipur,2015,43571,20.36,1197.0,78.9,5.0,10.25,3.55,False,True,True,False,False,False
Honda Amaze S i-Dtech,Kolkata,2013,50000,25.8,1498.0,98.6,5.0,8.54,3.25,False,False,True,False,False,False
Skoda Laura Ambiente,Hyderabad,2008,113000,17.5,1896.0,106.0,5.0,25.83,4.5,False,False,True,False,False,False
Renault Duster 85PS Diesel RxL,Delhi,2014,90000,19.87,1461.0,83.8,5.0,15.05,5.35,False,False,True,False,False,False
Mahindra NuvoSport N6,Chennai,2017,29000,17.45,1493.0,100.0,7.0,10.52,6.5,False,False,True,False,True,False
Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,24.3,1248.0,88.5,5.0,11.98,9.0,False,False,True,False,False,False
Hyundai i20 Asta Option 1.2,Kochi,2016,61012,18.6,1197.0,81.83,5.0,10.25,6.0,False,True,True,False,False,False
Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,14.7,1390.0,85.0,5.0,25.83,2.75,False,True,True,False,False,False
Tata Indigo eCS GLX,Pune,2010,70500,15.64,1193.0,64.1,5.0,7.63,1.5,False,True,True,False,False,False
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,15.73,1968.0,174.33,5.0,44.8,19.9,False,False,False,False,False,False
Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,14.7,1798.0,177.5,5.0,25.83,10.0,False,True,False,False,False,False
Toyota Etios Liva GD SP,Delhi,2014,104000,23.59,1364.0,67.06,5.0,8.525,3.0,False,False,True,False,False,False
